Date,State,Confirmed,Deaths,Recovered,New Cases
2021-03-02,Andaman and Nicobar Islands,5020,62,4952.0,0.0
2021-03-03,Andaman and Nicobar Islands,5020,62,4952.0,0.0
2021-03-04,Andaman and Nicobar Islands,5022,62,4952.0,2.0
2021-03-05,Andaman and Nicobar Islands,5024,62,4953.0,2.0
2021-03-06,Andaman and Nicobar Islands,5024,62,4954.0,0.0
2021-03-07,Andaman and Nicobar Islands,5024,62,4955.0,0.0
2021-03-08,Andaman and Nicobar Islands,5024,62,4955.0,0.0
2021-03-09,Andaman and Nicobar Islands,5026,62,4957.0,2.0
2021-03-10,Andaman and Nicobar Islands,5028,62,4958.0,2.0
2021-03-11,Andaman and Nicobar Islands,5028,62,4960.0,0.0
2021-03-12,Andaman and Nicobar Islands,5028,62,4960.0,0.0
2021-03-13,Andaman and Nicobar Islands,5029,62,4961.0,1.0
2021-03-14,Andaman and Nicobar Islands,5030,62,4964.0,1.0
2021-03-15,Andaman and Nicobar Islands,5031,62,4964.0,1.0
2021-03-16,Andaman and Nicobar Islands,5031,62,4966.0,0.0
2021-03-17,Andaman and Nicobar Islands,5032,62,4967.0,1.0
2021-03-18,Andaman and Nicobar Islands,5035,62,4967.0,3.0
2021-03-19,Andaman and Nicobar Islands,5036,62,4969.0,1.0
2021-03-20,Andaman and Nicobar Islands,5038,62,4969.0,2.0
2021-03-21,Andaman and Nicobar Islands,5038,62,4969.0,0.0
2021-03-22,Andaman and Nicobar Islands,5039,62,4969.0,1.0
2021-03-23,Andaman and Nicobar Islands,5039,62,4969.0,0.0
2021-03-24,Andaman and Nicobar Islands,5039,62,4972.0,0.0
2021-03-25,Andaman and Nicobar Islands,5041,62,4973.0,2.0
2021-03-26,Andaman and Nicobar Islands,5042,62,4974.0,1.0
2021-03-27,Andaman and Nicobar Islands,5043,62,4974.0,1.0
2021-03-28,Andaman and Nicobar Islands,5044,62,4975.0,1.0
2021-03-29,Andaman and Nicobar Islands,5046,62,4976.0,2.0
2021-03-30,Andaman and Nicobar Islands,5052,62,4976.0,6.0
2021-03-31,Andaman and Nicobar Islands,5081,62,4976.0,29.0
2021-04-01,Andaman and Nicobar Islands,5083,62,4976.0,2.0
2021-04-02,Andaman and Nicobar Islands,5084,62,4980.0,1.0
2021-04-03,Andaman and Nicobar Islands,5084,62,4981.0,0.0
2021-04-04,Andaman and Nicobar Islands,5098,62,4987.0,14.0
2021-04-05,Andaman and Nicobar Islands,5109,62,4990.0,11.0
2021-04-06,Andaman and Nicobar Islands,5116,62,5001.0,7.0
2021-04-07,Andaman and Nicobar Islands,5123,62,5010.0,7.0
2021-04-08,Andaman and Nicobar Islands,5131,62,5020.0,8.0
2021-04-09,Andaman and Nicobar Islands,5149,62,5027.0,18.0
2021-04-10,Andaman and Nicobar Islands,5161,62,5028.0,12.0
