Year of Date,Month of Date,State/UnionTerritory,Confirmed,Cured,Deaths,Confirmed Foreign National,Confirmed Indian National,Date,Sno,Time
2020,January,Kerala,1,0,0,0,1,1/30/2020,1,12/30/1899 6:00:00 PM
2020,January,Kerala,1,0,0,0,1,1/31/2020,2,12/30/1899 6:00:00 PM
2020,February,Kerala,2,0,0,0,2,2/1/2020,3,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/2/2020,4,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/3/2020,5,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/4/2020,6,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/5/2020,7,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/6/2020,8,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/7/2020,9,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/8/2020,10,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/9/2020,11,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/10/2020,12,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/11/2020,13,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/12/2020,14,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/13/2020,15,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/14/2020,16,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/15/2020,17,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/16/2020,18,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/17/2020,19,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/18/2020,20,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/19/2020,21,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/20/2020,22,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/21/2020,23,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/22/2020,24,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/23/2020,25,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/24/2020,26,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/25/2020,27,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/26/2020,28,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/27/2020,29,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/28/2020,30,12/30/1899 6:00:00 PM
2020,February,Kerala,3,0,0,0,3,2/29/2020,31,12/30/1899 6:00:00 PM
2020,March,Kerala,3,0,0,0,3,3/1/2020,32,12/30/1899 6:00:00 PM
2020,March,Telangana,1,0,0,0,1,3/2/2020,33,12/30/1899 6:00:00 PM
2020,March,Kerala,3,0,0,0,3,3/2/2020,34,12/30/1899 6:00:00 PM
2020,March,Delhi,1,0,0,0,1,3/2/2020,35,12/30/1899 6:00:00 PM
2020,March,Telangana,1,0,0,0,1,3/3/2020,36,12/30/1899 6:00:00 PM
2020,March,Rajasthan,1,0,0,1,0,3/3/2020,37,12/30/1899 6:00:00 PM
2020,March,Kerala,3,3,0,0,3,3/3/2020,38,12/30/1899 6:00:00 PM
2020,March,Delhi,1,0,0,0,1,3/3/2020,39,12/30/1899 6:00:00 PM
2020,March,Uttar Pradesh,6,0,0,0,6,3/4/2020,40,12/30/1899 6:00:00 PM
2020,March,Kerala,3,3,0,0,3,3/4/2020,41,12/30/1899 6:00:00 PM
2020,March,Haryana,2,0,0,2,0,3/4/2020,42,12/30/1899 6:00:00 PM
2020,March,Delhi,1,0,0,0,1,3/4/2020,43,12/30/1899 6:00:00 PM
2020,March,Telangana,1,0,0,0,1,3/4/2020,44,12/30/1899 6:00:00 PM
2020,March,Rajasthan,15,0,0,14,1,3/4/2020,45,12/30/1899 6:00:00 PM
2020,March,Delhi,2,0,0,0,2,3/5/2020,46,12/30/1899 6:00:00 PM
2020,March,Haryana,2,0,0,2,0,3/5/2020,47,12/30/1899 6:00:00 PM
2020,March,Kerala,3,3,0,0,3,3/5/2020,48,12/30/1899 6:00:00 PM
2020,March,Rajasthan,15,0,0,14,1,3/5/2020,49,12/30/1899 6:00:00 PM
2020,March,Telangana,1,0,0,0,1,3/5/2020,50,12/30/1899 6:00:00 PM
2020,March,Uttar Pradesh,7,0,0,0,7,3/5/2020,51,12/30/1899 6:00:00 PM
2020,March,Delhi,3,0,0,0,3,3/6/2020,52,12/30/1899 6:00:00 PM
2020,March,Haryana,2,0,0,2,0,3/6/2020,53,12/30/1899 6:00:00 PM
2020,March,Kerala,3,3,0,0,3,3/6/2020,54,12/30/1899 6:00:00 PM
2020,March,Rajasthan,15,0,0,14,1,3/6/2020,55,12/30/1899 6:00:00 PM
