Date,State,Confirmed,Deaths,Recovered,New Cases,Updated On,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Total Individuals Vaccinated
2021-04-01,Andaman and Nicobar Islands,5083,62,4976.0,2.0,2021-04-01,22608.0,1700.0,17.0,17435.0,5173.0,10347.0,7088.0,0.0,0.0,22608.0,17435.0
2021-04-02,Andaman and Nicobar Islands,5084,62,4980.0,1.0,2021-04-02,22738.0,1000.0,10.0,17559.0,5179.0,10407.0,7152.0,0.0,0.0,22738.0,17559.0
2021-04-03,Andaman and Nicobar Islands,5084,62,4981.0,0.0,2021-04-03,23221.0,1200.0,11.0,17998.0,5223.0,10633.0,7365.0,0.0,0.0,23221.0,17998.0
2021-04-04,Andaman and Nicobar Islands,5098,62,4987.0,14.0,2021-04-04,23901.0,1200.0,12.0,18677.0,5224.0,10996.0,7681.0,0.0,0.0,23901.0,18677.0
2021-04-05,Andaman and Nicobar Islands,5109,62,4990.0,11.0,2021-04-05,24774.0,1800.0,18.0,19499.0,5275.0,11437.0,8062.0,0.0,0.0,24774.0,19499.0
2021-04-06,Andaman and Nicobar Islands,5116,62,5001.0,7.0,2021-04-06,25766.0,2300.0,23.0,20445.0,5321.0,11897.0,8548.0,0.0,0.0,25766.0,20445.0
2021-04-07,Andaman and Nicobar Islands,5123,62,5010.0,7.0,2021-04-07,27978.0,2400.0,23.0,22631.0,5347.0,12986.0,9645.0,0.0,0.0,27978.0,22631.0
2021-04-08,Andaman and Nicobar Islands,5131,62,5020.0,8.0,2021-04-08,30766.0,2800.0,28.0,25363.0,5403.0,14405.0,10957.0,1.0,0.0,30766.0,25363.0
2021-04-09,Andaman and Nicobar Islands,5149,62,5027.0,18.0,2021-04-09,33217.0,2800.0,28.0,27698.0,5519.0,15582.0,12115.0,1.0,0.0,33217.0,27698.0
2021-04-10,Andaman and Nicobar Islands,5161,62,5028.0,12.0,2021-04-10,35433.0,3000.0,29.0,29863.0,5570.0,16690.0,13172.0,1.0,0.0,35433.0,29863.0
2021-04-11,Andaman and Nicobar Islands,5175,62,5038.0,14.0,2021-04-11,37624.0,2800.0,28.0,32012.0,5612.0,17866.0,14145.0,1.0,0.0,37624.0,32012.0
2021-04-12,Andaman and Nicobar Islands,5190,62,5040.0,15.0,2021-04-12,42285.0,3400.0,33.0,36572.0,5713.0,20175.0,16392.0,5.0,0.0,42285.0,36572.0
2021-04-13,Andaman and Nicobar Islands,5201,62,5050.0,11.0,2021-04-13,48845.0,3400.0,32.0,43013.0,5832.0,23433.0,19575.0,5.0,0.0,48845.0,43013.0
2021-04-14,Andaman and Nicobar Islands,5209,62,5054.0,8.0,2021-04-14,55595.0,3300.0,32.0,49654.0,5941.0,26959.0,22690.0,5.0,0.0,55595.0,49654.0
2021-04-15,Andaman and Nicobar Islands,5247,63,5078.0,38.0,2021-04-15,60857.0,4000.0,35.0,54778.0,6079.0,29685.0,25088.0,5.0,0.0,60857.0,54778.0
2021-04-16,Andaman and Nicobar Islands,5262,63,5082.0,15.0,2021-04-16,67662.0,4900.0,36.0,61339.0,6323.0,33196.0,28138.0,5.0,0.0,67662.0,61339.0
2021-04-17,Andaman and Nicobar Islands,5289,63,5110.0,27.0,2021-04-17,74019.0,4300.0,40.0,67451.0,6568.0,36435.0,31010.0,6.0,0.0,74019.0,67451.0
2021-04-18,Andaman and Nicobar Islands,5331,64,5146.0,42.0,2021-04-18,78153.0,4700.0,47.0,71275.0,6878.0,38500.0,32769.0,6.0,0.0,78153.0,71275.0
2021-04-19,Andaman and Nicobar Islands,5390,64,5200.0,59.0,2021-04-19,83028.0,4750.0,46.0,75675.0,7353.0,40893.0,34776.0,6.0,0.0,83028.0,75675.0
2021-04-20,Andaman and Nicobar Islands,5421,64,5212.0,31.0,2021-04-20,86910.0,4800.0,47.0,78973.0,7937.0,42718.0,36248.0,7.0,0.0,86910.0,78973.0
2021-04-21,Andaman and Nicobar Islands,5466,64,5243.0,45.0,2021-04-21,89072.0,4100.0,40.0,80901.0,8171.0,43818.0,37076.0,7.0,0.0,89072.0,80901.0
2021-04-22,Andaman and Nicobar Islands,5490,64,5276.0,24.0,2021-04-22,91833.0,4200.0,42.0,83233.0,8600.0,45145.0,38081.0,7.0,0.0,91833.0,83233.0
2021-04-23,Andaman and Nicobar Islands,5527,65,5309.0,37.0,2021-04-23,94166.0,4200.0,42.0,85201.0,8965.0,46215.0,38978.0,8.0,0.0,94166.0,85201.0
2021-04-24,Andaman and Nicobar Islands,5569,65,5358.0,42.0,2021-04-24,96093.0,3900.0,37.0,86796.0,9297.0,47109.0,39679.0,8.0,0.0,96093.0,86796.0
2021-04-25,Andaman and Nicobar Islands,5614,66,5410.0,45.0,2021-04-25,97392.0,3500.0,35.0,87865.0,9527.0,47711.0,40146.0,8.0,0.0,97392.0,87865.0
2021-04-26,Andaman and Nicobar Islands,5665,66,5467.0,51.0,2021-04-26,99109.0,3500.0,34.0,89290.0,9819.0,48496.0,40786.0,8.0,0.0,99109.0,89290.0
2021-04-27,Andaman and Nicobar Islands,5716,66,5520.0,51.0,2021-04-27,100571.0,3500.0,34.0,90454.0,10117.0,49116.0,41330.0,8.0,0.0,100571.0,90454.0
2021-04-28,Andaman and Nicobar Islands,5764,66,5562.0,48.0,2021-04-28,101770.0,3100.0,31.0,91394.0,10376.0,49622.0,41764.0,8.0,0.0,101770.0,91394.0
